,news,politics,music,science,literature,ai
win-defeat,16.6666666666666,33.3333333333333,-0.32828282828279987,3.553921568627494,-3.3278688524590927,39.393939393939405
physical,18.636363636363605,10.635168363967097,4.634737674772193,20.158730158730197,13.654706875045797,9.767025089605708
role,4.661016949152508,-3.4426380316791017,-0.4189170475003001,12.486700841473997,15.486524470899498,18.324175824175803
named,46.6666666666667,4.998473748473808,-3.4188034188034955,-12.432343775627409,-10.380952380952401,15.758240864935102
part-of,-15.555555555555605,21.451355661881998,-2.3279352226721004,-0.9941277107319985,14.864864864864897,6.803682354916302
related-to,26.315789473684205,16.6666666666666,27.272727272727202,-1.7401960784313997,18.817204301075304,-12.708600770218197
opposite,-25.0,2.795031055900601,0.0,0.0,0.0,0.0
temporal,-12.8571428571429,-3.400272401887805,2.605297438124199,3.260869565217406,-3.020667726550097,-0.4524886877828038
general-affiliation,16.666666666666607,-5.979314802844199,2.3372851014962004,18.3692307692308,4.205128205128206,23.935091277890404
artifact,0.0,0.0,-6.789861829278698,-4.999999999999993,-15.967963959454401,-3.216374269005895
social,0.0,-100.0,0.0,-29.166666666666607,5.6038647342994965,0.0
origin,0.0,-56.0606060606061,-9.090909090909093,5.131845841784999,16.249999999999996,-8.006912442396297
type-of,0.0,100.0,1.54471544715451,-37.5,15.837104072398201,8.3582089552238
topic,0.0,0.0,0.0,-23.333333333333396,11.1111111111111,-12.5
compare,0.0,0.0,0.0,26.666666666666593,0.0,0.0
usage,0.0,0.0,-4.347826086956596,0.0,0.0,-1.108374384236499
cause-effect,0.0,0.0,0.0,0.0,0.0,0.0
